Rank,390,395,400,488,460,Q80,Q63,Q60,Q50,380,Q35,Q2,387,TOTAL,%
Male_White,0,0,2,4,0,11,0,35,203,14,1,701,1,972,42.37%
Female_White,0,0,1,1,0,4,0,9,50,1,0,109,0,175,7.63%
Subtotal_White,0,0,3,5,0,15,0,44,253,15,1,810,1,1147,50.00%
Male_Black,1,1,1,0,0,2,0,6,24,3,0,138,0,176,7.67%
Female_Black,0,0,0,0,0,0,0,6,9,1,0,27,0,43,1.87%
Subtotal_Black,1,1,1,0,0,2,0,12,33,4,0,165,0,219,9.55%
Male_Hispanic,0,1,1,1,0,2,0,10,39,4,0,243,0,301,13.12%
Female_Hispanic,0,0,0,0,0,0,0,1,17,3,0,51,0,72,3.14%
Unknown_Hispanic,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.04%
Subtotal_Hispanic,0,1,1,1,0,2,0,11,56,7,0,295,0,374,16.30%
Male_Asian,0,0,0,2,0,5,0,14,64,2,2,249,0,338,14.73%
Female_Asian,0,0,0,0,0,0,0,0,5,0,0,29,0,34,1.48%
Subtotal_Asian,0,0,0,2,0,5,0,14,69,2,2,278,0,372,16.22%
Male_Filipino,0,0,0,0,0,1,0,4,15,0,0,105,0,125,5.45%
Female_Filipino,0,0,0,0,0,0,0,0,4,0,0,9,0,13,0.57%
Subtotal_Filipino,0,0,0,0,0,1,0,4,19,0,0,114,0,138,6.02%
Male_AmInd,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.17%
Female_AmInd,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0.13%
Subtotal_AmInd,0,0,0,0,0,0,0,0,1,0,0,6,0,7,0.31%
Male_Other,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0.87%
Female_Other,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0.22%
Unknown_Other,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.04%
Subtotal_Other,0,0,0,0,0,0,0,0,0,0,0,26,0,26,1.13%
Male_Unknown,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0.44%
Unknown_Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.04%
Subtotal_Unknown,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0.48%
Male_Total,1,2,4,7,0,21,0,69,345,23,3,1470,1,1946,84.83%
Female_Total,0,0,1,1,0,4,0,16,86,5,0,232,0,345,15.04%
Unknown_Total,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.13%
SFPD Totals,1,2,5,8,0,25,0,85,431,28,3,1705,1,2294,100.00%
