Date of Stop ,Time Of Stop ,Race,Sex,Age,ReasonForStop,ResultsOfSearch,ResultOfStop,Location of Stop ,District
01-JAN-16,0005,W,F,22,2,1,2,EMABARCADERO & WASHINGTON,A
01-JAN-16,0010,A,F,38,2,1,2,10TH ST & HOWARD ST,B
01-JAN-16,0020,B,M,30,2,1,3,NEW MONTGOMERY ST & MARKET ST,A
01-JAN-16,0026,B,M,25,2,1,2,22ND ST & CAPP ST,D
01-JAN-16,0030,H,F,40,1,1,3,MISSION ST & 8TH ST,J
01-JAN-16,0035,W,M,47,2,0,3,46TH AVE & JUDAH,I
01-JAN-16,0055,O,M,18,1,1,3,OCEAN/GRANDA,I
01-JAN-16,0059,W,M,35,1,1,2,N/B MASON ST AT TURK ST,J
01-JAN-16,0100,O,F,33,2,1,2,TAYLOR ST. & BUSH ST. ,A
01-JAN-16,0100,W,M,40,1,1,2,FELL STREET AND BAKER ST,F
01-JAN-16,0115,H,F,30,1,3,3,TREAT AV & 17TH ST,D
01-JAN-16,0130,B,M,23,1,1,3,OFARREL AND POWELL,J
01-JAN-16,0130,W,F,56,1,1,2,MASONIC/GEARY,F
01-JAN-16,0140,B,M,22,2,5,3,21ST AND CAPP ST,D
01-JAN-16,0140,H,M,40,2,1,3,OCEAN AVE & JULES ,I
01-JAN-16,0147,H,F,27,1,1,3,MONTGOMERY & CALIFORNIA ,A
01-JAN-16,0150,W,M,33,1,1,2,7TH AV & CLEMENT ST,G
01-JAN-16,0215,H,M,43,1,1,2,1100 CLEMENT ST,G
01-JAN-16,0230,B,M,35,1,1,2,17TH ST & MISSION ST,D
01-JAN-16,0230,W,M,52,1,1,2,19TH AVE & VICENTE,I
01-JAN-16,0240,B,M,41,1,1,2,OAK & BAKER,F
01-JAN-16,0243,B,M,36,1,1,3,POWELL/UNION,A
01-JAN-16,0325,O,F,28,1,1,2,1351 19TH AVE,G
01-JAN-16,0330,H,F,25,6,0,3,19TH ST AND CAPP ST,D
01-JAN-16,0430,O,M,46,2,1,2,2 NEW MONTGOMERY ST,A
01-JAN-16,0601,O,M,43,2,1,2,SUTTER ST & MASON ST,A
01-JAN-16,0703,H,M,34,1,1,3,GEARY BLVD AND PALM,G
01-JAN-16,0830,W,M,46,1,1,2,971 CLAYTON,F
01-JAN-16,0830,W,M,60,2,1,2,FULTON/PARK PRESIDIO,G
01-JAN-16,0836,O,M,42,2,1,3,28 AND DOLORES,H
01-JAN-16,0853,H,M,46,2,1,2,VALENCIA ST & 14TH ST,D
01-JAN-16,0903,H,M,45,2,1,3,MISSION ST & 18TH ST,D
01-JAN-16,1005,B,M,32,2,1,2,THOMAS ST/ INGALLS ST,C
01-JAN-16,1013,A,F,53,1,1,2,FELTON AT GIRARD,C
01-JAN-16,1025,B,F,33,2,1,2,QUESADA ST & LANE ST,C
01-JAN-16,1030,A,M,25,1,1,2,LAKESHORE DR & OCEAN AVE,I
01-JAN-16,1035,W,M,31,1,1,3,1075 GENEVA AVE,H
01-JAN-16,1114,O,M,20,1,1,2,BATTERY AND SACRAMENTO,A
01-JAN-16,1120,A,F,43,2,1,2,9TH ST. & MARKET ST.,B
01-JAN-16,1120,B,F,23,2,5,3,SUNNYDALE AVE. & HAHN. ST,H
01-JAN-16,1124,O,M,54,1,1,2,280S/B AT OCEAN AVE,H
01-JAN-16,1130,B,F,27,2,1,2,345 WILLIAMS ST,C
01-JAN-16,1130,W,M,56,1,1,3,LAKE ST. & 6TH AVE.,G
01-JAN-16,1140,W,F,35,2,1,2,955 FOLSOM ST. ,B
01-JAN-16,1145,A,M,28,1,1,2,VALLEJO COLUMBUS,A
01-JAN-16,1150,W,M,46,2,1,3,JUNIPERO SERRA & OCEAN,I
01-JAN-16,1155,A,M,61,1,1,2,GEARY BLVD. & 14TH AVE.,G
01-JAN-16,1215,A,M,29,2,1,2,PERSIA ST. & ATHENS ST.,H
01-JAN-16,1220,W,F,48,1,1,3,PALM AND GEARY,G
01-JAN-16,1230,B,F,24,1,1,3,16 TURK ST,J
01-JAN-16,1239,W,M,38,1,1,2,BOSWORTH ST & LIPPARD ST,H
01-JAN-16,1255,B,F,25,1,1,2,28TH AVE & TARAVAL ST,I
01-JAN-16,1305,A,M,51,1,1,2,GEARY BLVD. & 10TH AVE.,G
01-JAN-16,1315,B,M,45,2,9,2,1600 BLOCK OF MARTIN LUTHER KING JR DRIVE,H
01-JAN-16,1330,B,M,34,1,1,3,GEARY BLVD & 24TH AVE.,G
01-JAN-16,1330,H,M,25,2,1,2,HARRISON ST. & 8TH ST.,B
01-JAN-16,1337,B,M,24,1,2,2,POTRERO AV. & 25TH ST.,D
01-JAN-16,1345,W,M,45,1,1,3,2402 17TH ST.,F
01-JAN-16,1355,W,M,23,1,1,2,MARKETY ST. & EUREKA ST.,F
01-JAN-16,1400,W,M,25,1,1,2,CALIFORNIA ST. & 25TH AVE.,G
01-JAN-16,1405,H,M,22,1,1,2,MARKET ST. & COLLINGWOOD ST.,F
01-JAN-16,1425,W,M,47,1,1,3,2340 FUNSTON ST,I
01-JAN-16,1431,W,M,59,1,1,2,BOSWORTH & DIAMOND,H
01-JAN-16,1445,H,F,24,1,1,2,LISBON & AVALON,H
01-JAN-16,1454,W,F,30,1,1,3,POWELL @ GEARY,A
01-JAN-16,1510,H,M,26,2,1,2,BRYANT ST & PRECITA ST,H
01-JAN-16,1510,W,M,40,2,2,3,17TH ST & MISSION ST,D
01-JAN-16,1510,W,M,59,2,1,2,HYDE & BEACH ST,A
01-JAN-16,1511,W,F,32,2,1,2,SACRAMENTO AND KEARNY,A
01-JAN-16,1513,W,M,20,2,1,3,20TH AVE & OCEAN AVE,I
01-JAN-16,1525,O,M,54,1,1,2,NORTH POINT & BEACH ST,A
01-JAN-16,1530,O,M,48,2,1,3,46TH AVE & LINCOLN,I
01-JAN-16,1540,B,M,60,2,1,3,1200 BLK VALENCIA ST,D
01-JAN-16,1600,B,M,66,2,3,3,2238 VICENTE ,I
01-JAN-16,1610,H,M,34,1,1,2,1939 SAN JOSE,H
01-JAN-16,1611,B,M,32,6,2,1,1826 KEITH ST.,C
01-JAN-16,1615,O,F,47,2,1,2,110 LINCOLN,F
01-JAN-16,1630,W,M,32,1,1,3,TURK AND MASON,J
01-JAN-16,1645,B,M,25,1,1,3,DUNCAN ST & VALENCIA ST,D
01-JAN-16,1650,W,M,67,1,1,3,IRVING & 9TH AVENUE,F
01-JAN-16,1651,H,M,25,2,1,2,7TH ST. & JUDAH ST.,F
01-JAN-16,1657,B,F,41,2,1,3,ELLIS ST & LARKIN ST,J
01-JAN-16,1657,W,M,28,2,1,2,MCALISTER/JONES,J
01-JAN-16,1725,O,M,53,1,1,2,ASHBURY ST & FREDERICK ST,F
01-JAN-16,1728,O,M,49,1,1,3,EMBARCADERO & NORTHPOINT,A
01-JAN-16,1730,A,M,30,1,1,2,SANSOME & SUTTER,A
01-JAN-16,1734,W,M,52,1,1,2,CALIFRONIA ST & MASON ST,A
01-JAN-16,1736,B,M,53,1,1,2,GOLDEN GATE/JONES,J
01-JAN-16,1747,W,M,45,2,1,2,MASONIC AND PAGE,F
01-JAN-16,1800,B,F,22,2,1,2,3RD ST & MCKINNON,C
01-JAN-16,1800,B,M,41,2,3,3,GOLDEN GATE AND TAYLOR,J
01-JAN-16,1805,O,M,27,1,1,2,CLAYTON AND 17TH ST,F
01-JAN-16,1830,A,M,67,1,1,3,CALIFORNIA @ POWELL,A
01-JAN-16,1840,B,M,31,1,1,3,COLUMBUS ST & GREEN ST,A
01-JAN-16,1840,O,M,28,2,1,2,TURK ST & LARKIN ST,J
01-JAN-16,1844,H,M,28,1,1,2,1452 HAIGHT ST.,F
01-JAN-16,1845,A,F,28,1,1,2,COLUMBUS & FILBERT,A
01-JAN-16,1851,B,M,50,2,1,2,EDDY/MASON,J
01-JAN-16,1855,W,M,46,2,1,2,EDDY/MASON,J
01-JAN-16,1900,A,F,53,1,1,2,TARAVAL/LENNOX,I
01-JAN-16,1900,B,M,38,2,3,3,5TH STREET & HOWARD ST,J
01-JAN-16,1900,B,M,48,1,1,2,CLAY ST & FRONT ST,A
01-JAN-16,1900,W,M,61,2,1,3,BATTERY ST & EMBARCADERO,A
01-JAN-16,1910,O,M,32,1,1,2,MONTGOIMERY ST & PINE ST,A
01-JAN-16,1910,W,M,47,1,1,2,HAIGHT ST. & LYON ST.,F
01-JAN-16,1915,W,M,35,1,1,3,UNION&POLK,E
01-JAN-16,1920,W,M,39,1,1,2,651 SAN JOSE AVE,H
01-JAN-16,1924,W,F,33,1,1,2,HAIGHT ST. & MASONIC AVE.,F
01-JAN-16,1932,B,M,55,1,1,2,EDDY/LEAV,J
01-JAN-16,1935,B,M,30,1,1,3,INGALLS/KISKA,C
01-JAN-16,1939,H,F,43,2,1,2,KEARNY ST & WASHINGTON ST,A
01-JAN-16,1940,A,M,44,1,1,2,PACHECO ST & 20TH AVE,I
01-JAN-16,1946,H,F,23,1,1,3,SUTTER/MASON,A
01-JAN-16,1947,A,M,24,1,1,2,LAKE MERCED& SKYLINE BLVD,I
01-JAN-16,1950,B,M,25,2,1,2,5TH ST & STEVENSON ST,J
01-JAN-16,1954,O,M,28,1,1,2,CALIFORNIA/MASON,A
01-JAN-16,1958,B,M,25,2,1,3,ALEMANY & CRYSTAL,I
01-JAN-16,1958,W,F,38,1,1,3,MISSION ST & JESSIE WEST,B
01-JAN-16,2005,A,M,32,1,0,2,88 6TH ST,J
01-JAN-16,2008,O,M,45,2,1,2,EVANS ST & 3RD ST,C
01-JAN-16,2010,H,M,39,1,1,2,KEARNY ST & SUTTER ST,A
01-JAN-16,2030,W,M,23,2,1,3,2ND ST. & KING ST.,B
01-JAN-16,2038,B,M,20,2,3,3,TURK ST & JONES ST ,J
01-JAN-16,2045,H,M,25,1,0,3,GEARY BLVD & SCOTT ST,E
01-JAN-16,2056,W,M,70,1,1,3,CALIFORNIA/STOCKTON,A
01-JAN-16,2105,H,M,25,1,1,3,SUTTER/MASON,A
01-JAN-16,2110,B,M,58,1,1,2,CHRISTOPHER ST. & FOREST KNOWLES ST.,F
01-JAN-16,2110,O,M,28,1,1,2,MASON/POST,A
01-JAN-16,2130,B,M,42,1,5,2,MISSION/14TH,D
01-JAN-16,2134,W,M,46,1,1,3,VAN NESS AND CHESTNUT,E
01-JAN-16,2136,A,M,18,1,1,2,BRANNAN ST & 5TH STREET,B
01-JAN-16,2140,A,F,30,2,1,2,KIRKHAM AND SUNSET,I
01-JAN-16,2140,O,M,22,2,1,2,GENEVA AVE & CAYUGA AVE,H
01-JAN-16,2140,W,M,34,1,1,3,20TH & CAPP ,D
01-JAN-16,2155,B,M,54,1,1,3,LEAVENWORTH & TURK,J
01-JAN-16,2155,O,M,24,1,1,2,2ND ST & MINNA ST,B
01-JAN-16,2155,O,M,30,2,1,2,3RD ST & ST FRANCIS PL,B
01-JAN-16,2200,A,F,20,1,1,2,HARRISON ST & 2ND ST,B
01-JAN-16,2200,W,M,31,2,1,2,1100 TENNESSEE ST.,C
01-JAN-16,2205,H,M,19,1,1,2,NORTHPOINT AND POLK,E
01-JAN-16,2210,O,M,31,2,1,2,UNION ST AND MASON ST,A
01-JAN-16,2215,B,M,20,1,1,2,19TH & SHOTWELL,D
01-JAN-16,2215,W,M,65,1,1,2,TURK/STANYAN,F
01-JAN-16,2217,A,M,33,1,1,2,16TH & ALBION,D
01-JAN-16,2225,O,M,30,1,1,3,HYDE ST & OFARRELL,A
01-JAN-16,2233,B,M,25,1,1,2,HAIGHT ST. & COLE ST.,F
01-JAN-16,2235,O,M,34,1,1,2,MIDDLEFIELD & GELLERT,I
01-JAN-16,2240,B,F,26,1,1,2,POLK ST & GEARY ST,E
01-JAN-16,2240,B,F,53,2,1,2,SLOAT AVE / EVERGLADE DR,I
01-JAN-16,2240,B,M,43,2,1,2,SANSOME & WASHINGTON,A
01-JAN-16,2254,A,F,29,2,1,3,SLOAT / 19TH AVE,I
01-JAN-16,2300,A,M,65,1,1,2,20TH AVE AND BALBOA ST,G
01-JAN-16,2300,B,M,43,2,1,2,375 SOUTH VAN NESS AVE,D
01-JAN-16,2300,W,F,28,1,1,2,PARNASSUS AND STANYAN,F
01-JAN-16,2306,A,M,20,1,1,3,19TH AVE & SLOAT BL,I
01-JAN-16,2307,A,M,31,2,1,2,GEARY&3RD AV,G
01-JAN-16,2307,O,M,19,1,1,3,GOLDEN GATE AVE & HYDE ST.,J
01-JAN-16,2309,W,F,27,2,1,3,LOMBARD ST & LAGUNA ST,E
01-JAN-16,2315,A,F,74,1,1,2,STOCKTON/FILBERT,A
01-JAN-16,2315,A,M,25,1,1,3,POLK ST & HAYES ST,B
01-JAN-16,2315,B,F,35,2,1,3,INGALLS AND HARBOR,C
