Date of Stop ,Time Of Stop ,Race,Ethnicity,Sex,Age,ReasonForStop,ResultsOfSearch,ResultOfStop,Location of Stop ,Location of Stop ,District
20161019,09,Black,Non Hispanic,M,49,Traffic Violation,No Search,Citation,6TH ST,HOWARD ST,Southern
20161019,19,White,Non Hispanic,M,39,Traffic Violation,Vehicle Inventory,Citation,3RD ST,S PARK ST,Southern
20161019,21,White,Non Hispanic,M,35,Traffic Violation,No Search,Citation,6TH ST,HOWARD ST,Southern
20161020,19,Black,Non Hispanic,M,25,Traffic Violation,Search as a result of Probation or Parole,Citation,6TH ST,HOWARD ST,Southern
20161020,15,Other,Non Hispanic,F,30,Traffic Violation,Search Incident to Arrest,In Custody Arrest,MISSION ST,ECKER PL,Southern
20161021,19,Black,Non Hispanic,M,55,Traffic Violation,No Search,Warning,3RD ST,16TH ST,Southern
20161021,17,White,Non Hispanic,M,44,Traffic Violation,No Search,Incident Report,MISSION ST,,Southern
20161022,15,Other,Non Hispanic,M,35,Traffic Violation,No Search,Citation,3RD ST.,,Southern
20161023,18,White,Non Hispanic,M,31,Traffic Violation,No Search,Citation,3RD ST.,,Southern
20161024,10,Asian or Pacific Islander,Non Hispanic,M,45,Traffic Violation,No Search,Citation,FREMONT ST,MISSION ST,Southern
20161024,17,Asian or Pacific Islander,Non Hispanic,M,47,Traffic Violation,No Search,Citation,10TH ST,HOWARD ST,Southern
20161024,17,Other,Hispanic,M,25,Traffic Violation,Vehicle Inventory,Citation,10TH ST,FOLSOM ST,Southern
20161024,16,Other,Non Hispanic,M,21,Traffic Violation,No Search,Citation,KING ST,3RD ST,Southern
20161024,19,Other,Non Hispanic,M,34,Traffic Violation,No Search,Citation,4TH ST,BERRY ST,Southern
20161024,17,White,Hispanic,M,23,Traffic Violation,No Search,Warning,5TH AVE.,ANZA ST.,Richmond
20161024,12,White,Non Hispanic,F,21,Traffic Violation,No Search,Citation,TREASURE ISLAND RD,MACALLA RD,Treasure Island
20161024,16,White,Non Hispanic,F,42,Traffic Violation,No Search,Citation,6TH ST,MISSION ST,Southern
